split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Naive inherited-label classifier,II_III,MAST cells,II_III,3,0.15259668389994233,0.1946902459494665
test,Naive inherited-label classifier,II_III,T lymphocytes,II_III,138,0.13318457360503183,0.2623903260552446
test,Naive inherited-label classifier,II_III,Epithelial cells,II_III,10,0.12999304907368472,0.18124690373754493
test,Naive inherited-label classifier,II_III,NK cells,II_III,5,0.09324280850047942,0.1801009845139524
test,Naive inherited-label classifier,II_III,Endothelial cells,II_III,1,0.0788949681591743,0.0788949681591743
test,Naive inherited-label classifier,II_III,B lymphocytes,II_III,40,0.06678085840384529,0.10443446526906913
test,Naive inherited-label classifier,II_III,Epithelial cells,IV,10,0.7229242972008059,0.8506763622124043
test,Naive inherited-label classifier,II_III,Undetermined,IV,1,0.6016244501874565,0.6016244501874565
test,Naive inherited-label classifier,II_III,NK cells,IV,5,0.5275101116055098,0.772445261636223
test,Naive inherited-label classifier,II_III,B lymphocytes,IV,40,0.4107214845914985,0.6273646791531549
test,Naive inherited-label classifier,II_III,T lymphocytes,IV,138,0.36022822409846716,0.6484792315590447
test,Naive inherited-label classifier,II_III,Endothelial cells,IV,1,0.342314361522083,0.342314361522083
test,Naive inherited-label classifier,II_III,MAST cells,IV,3,0.25286913972130654,0.42086637544383765
test,Naive inherited-label classifier,II_III,Myeloid cells,IV,53,0.23298491925315848,0.638218791396436
test,Naive inherited-label classifier,IV,B lymphocytes,I,195,0.31864242608876575,0.5660570935291792
test,Naive inherited-label classifier,IV,T lymphocytes,I,344,0.2986795828105136,0.6102840295403757
test,Naive inherited-label classifier,IV,Fibroblasts,I,6,0.22277561657188727,0.35341162665737
test,Naive inherited-label classifier,IV,NK cells,I,34,0.22013048221033646,0.4833645404107147
test,Naive inherited-label classifier,IV,MAST cells,I,1,0.1860229315929939,0.1860229315929939
test,Naive inherited-label classifier,IV,Myeloid cells,I,160,0.12587102407030742,0.32111402252956817
test,Naive inherited-label classifier,IV,Epithelial cells,I,267,0.06683818727291636,0.12829705217261653
test,Naive inherited-label classifier,IV,Undetermined,I,8,0.05891640786538769,0.10534421800532283
test,Naive inherited-label classifier,IV,Oligodendrocytes,I,6,0.00015667893550027088,0.0004423444144369387
test,Naive inherited-label classifier,IV,Oligodendrocytes,II_III,6,0.23285658737318005,0.3551802792811799
test,Naive inherited-label classifier,IV,Fibroblasts,II_III,6,0.22537816548869719,0.3787094398475297
test,Naive inherited-label classifier,IV,NK cells,II_III,34,0.07750543348574257,0.22610043727092058
test,Naive inherited-label classifier,IV,Myeloid cells,II_III,160,0.07127615195406528,0.18209364785659346
test,Naive inherited-label classifier,IV,MAST cells,II_III,1,0.0665534807381598,0.0665534807381598
test,Naive inherited-label classifier,IV,T lymphocytes,II_III,344,0.05548950679573447,0.10190804760397733
test,Naive inherited-label classifier,IV,B lymphocytes,II_III,195,0.05420966925648648,0.09763694238454004
test,Naive inherited-label classifier,IV,Undetermined,II_III,8,0.027702609808534038,0.039484098454037136
test,Naive inherited-label classifier,IV,Epithelial cells,II_III,267,0.022068790409902766,0.0535249109312404
test,Naive inherited-label classifier,IV,Undetermined,IV,8,0.9133809823260781,0.958205281153479
test,Naive inherited-label classifier,IV,Epithelial cells,IV,267,0.9110930223171808,0.9778777758683264
test,Naive inherited-label classifier,IV,Myeloid cells,IV,160,0.8028528239756273,0.9857314176369014
test,Naive inherited-label classifier,IV,Oligodendrocytes,IV,6,0.7669867336913198,0.8868669756607278
test,Naive inherited-label classifier,IV,MAST cells,IV,1,0.7474235876688463,0.7474235876688463
test,Naive inherited-label classifier,IV,NK cells,IV,34,0.7023640843039209,0.965569813829702
test,Naive inherited-label classifier,IV,T lymphocytes,IV,344,0.6458309103937518,0.968621519131405
test,Naive inherited-label classifier,IV,B lymphocytes,IV,195,0.6271479046547477,0.8798297582291397
test,Naive inherited-label classifier,IV,Fibroblasts,IV,6,0.5518462179394156,0.8646714377489697
train,Categorical EM-MMIL,I,Undetermined,I,5,0.9537721306113468,0.9954121891719687
train,Categorical EM-MMIL,I,T lymphocytes,I,762,0.7825673576664468,0.9997680137879541
train,Categorical EM-MMIL,I,B lymphocytes,I,298,0.7735857418785327,0.9996350952039431
train,Categorical EM-MMIL,I,Myeloid cells,I,271,0.6926343687013164,0.9996396595185556
train,Categorical EM-MMIL,I,NK cells,I,58,0.6072480146995695,0.9978493754875701
train,Categorical EM-MMIL,I,Endothelial cells,I,9,0.49086576539159377,0.9863973370299045
train,Categorical EM-MMIL,I,MAST cells,I,19,0.47116962035791393,0.9406713732166412
train,Categorical EM-MMIL,I,Epithelial cells,I,75,0.16757656249590924,0.8464287775590896
train,Categorical EM-MMIL,I,Fibroblasts,I,13,0.15887291963940411,0.5564064806428197
train,Categorical EM-MMIL,I,Fibroblasts,II_III,13,0.4815076657598126,0.9867517472911522
train,Categorical EM-MMIL,I,Endothelial cells,II_III,9,0.2735128177131636,0.9757813001509995
train,Categorical EM-MMIL,I,Epithelial cells,II_III,75,0.16838409431912857,0.9201041866761743
train,Categorical EM-MMIL,I,NK cells,II_III,58,0.09675565620039957,0.32612264167300586
train,Categorical EM-MMIL,I,Myeloid cells,II_III,271,0.09468795982712991,0.3650419767872683
train,Categorical EM-MMIL,I,MAST cells,II_III,19,0.05972635254567272,0.12705176332562385
train,Categorical EM-MMIL,I,B lymphocytes,II_III,298,0.03789652870759916,0.0007458754639580003
train,Categorical EM-MMIL,I,T lymphocytes,II_III,762,0.030114687971465923,0.023703417575337855
